,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,191682.29591836734,195886.8623853211,229277.09174311926,293774.4905660377,329402.7924528302,426188.9609375,479808.3660714286,454656.6233766234,424802.4090909091,460578.09722222225,497340.2525252525,460955.98,420658.2346938776,458520.56701030926,481614.74418604653,496539.625,703177.9433962264,866624.0,793910.2168674698,670985.4677419355,564905.8421052631
2,163437.75714285715,200869.13698630137,200951.6567164179,220263.453125,278552.91764705884,286630.45454545453,326243.40845070424,441204.40625,434232.98039215687,321978.756097561,351269.96078431373,319574.96875,313761.4776119403,369592.7868852459,369444.64285714284,361467.2131147541,431646.0987654321,484094.0190476191,498730.40206185565,544344.5714285715,625649.0625
3,94510.02173913043,112521.76363636364,172194.4125,192404.14117647058,164461.02469135803,167020.1348314607,198250.70588235295,349346.31666666665,372297.42553191487,390018.4857142857,358187.975,218509.47619047618,221777.22916666666,213980.0243902439,277469.65,283404.28,275338.2641509434,282198.0444444445,299359.4318181818,319768.65714285715,332800.0
4,139324.6504854369,151898.28431372548,178637.16393442624,208053.26829268291,234418.07638888888,275559.41818181815,296284.3623188406,271569.9279279279,254689.73493975904,243300.34848484848,231783.32835820896,254787.46031746033,255455.83116883118,236579.46511627908,262656.89361702127,1131421.9179104478,985761.2941176471,351966.78106508875,361625.48214285716,364567.9801980198,342385.71428571426
5,190208.8173076923,218400.58163265305,247598.16091954024,263562.4423076923,289768.08849557524,347167.04545454547,365526.28205128206,368487.08450704225,345295.4745762712,316922.36842105264,315284.7027027027,306011.6896551724,308824.243902439,327563.0,339083.7974683544,337120.5172413793,363238.24210526317,421612.04347826086,445853.2584269663,454100.3333333333,491647.78571428574
6,147265.7894736842,155957.35294117648,150967.64705882352,162707.04761904763,194664.86666666667,191624.06896551725,157190.47619047618,192095.42857142858,211743.14285714287,195049.0,164056.29411764705,268002.9130434783,284040.0,174065.16666666666,192233.65,224104.54545454544,219387.5,207086.36363636365,217056.9,235972.15384615384,354833.3333333333
7,343734.75694444444,386299.73066666664,123645.38283828383,160023.0580474934,192412.1556122449,217297.82183908045,228236.42443729902,227287.53174603175,219641.8111587983,204029.8679245283,188015.52272727274,185890.65625,201973.79841897232,219900.98872180452,239887.59016393442,242761.35338345866,264642.3060498221,306167.406557377,315554.3103448276,305440.5864197531,275778.3783783784
8,81931.95652173914,85457.99315068492,99482.50543478261,125572.94736842105,153970.61375661375,198988.21825396825,315157.08301886794,370066.81176470587,186027.58778625954,198929.5,227141.20673076922,204060.10362694302,170076.4844720497,175690.82,186566.25362318842,215265.64900662252,225238.2865497076,233705.7,241290.4,247008.2258064516,255911.42857142858
9,134304.75862068965,134239.92307692306,167643.26923076922,202458.87096774194,221072.0,249984.56,346571.61375661375,417076.5017793594,431583.89349112427,649794.3846153846,848224.3170731707,278248.4736842105,259775.23076923078,270205.8181818182,308276.92307692306,325096.0,328296.61363636365,349164.152173913,361766.38181818184,362783.36363636365,385333.3333333333
10,79317.23529411765,86603.74,166284.98611111112,316928.09375,324567.0,482439.9342105263,499610.2245989305,340181.67289719626,293939.45192307694,282908.32558139536,268250.1014492754,196566.69565217392,197032.18681318683,221882.44262295082,248680.46583850932,264166.72277227725,280779.7055555555,298332.7522123894,293732.45238095237,313123.34920634923,346277.5833333333
11,66625.0,110785.71428571429,187062.5,158633.33333333334,123742.85714285714,170333.33333333334,187500.0,224211.0,221418.44444444444,238329.11111111112,258637.42857142858,231000.0,266350.0,279620.0,273200.0,271650.0,403500.0,540000.0,750000.0,592000.0,276000.0
12,63294.444444444445,72625.0,79500.0,89500.0,106700.0,136355.55555555556,138462.5,135250.0,146500.0,196000.0,214285.7142857143,175946.66666666666,122795.0,90500.0,161200.0,148100.0,135000.0,105000.0,105000.0,105000.0,0.0
13,140800.0,149693.87096774194,173618.86486486485,194377.65060240965,219436.56459330145,249690.02459016393,272561.17910447763,286244.11805555556,275523.3106060606,248864.74561403508,237385.2,268075.05333333334,278293.5076142132,258260.6923076923,277480.9212962963,284277.179245283,321729.79835390946,339523.1804511278,320908.7580645161,332421.2929936306,348340.1818181818
14,113526.3870967742,158362.33333333334,190747.36842105264,191664.59259259258,282367.8493150685,348068.76543209876,328948.59574468085,322284.5232558139,306750.1530612245,228124.0655737705,199784.02083333334,200193.74,212232.59649122806,260129.77777777778,245438.1857142857,252323.63953488372,301478.05194805196,301986.5060240964,323024.97777777776,332452.3137254902,225800.0
15,291186.52173913043,367338.3333333333,413411.4285714286,420882.85714285716,446246.6666666667,650704.1666666666,940394.7777777778,956710.6,480312.5,431433.5,413252.5,502326.3157894737,534094.1176470588,543196.4666666667,605087.35,604076.1904761905,612394.1176470588,678141.8461538461,746966.3478260869,725444.1,486166.6666666667
16,176813.52173913043,196208.06896551725,199911.3230769231,308849.624,363026.15315315314,324567.1590909091,845618.5979381443,986335.3670886076,395742.21428571426,413963.01960784313,396390.3095238095,352747.85,386340.17910447763,437618.71186440677,389784.85714285716,408567.14814814815,551844.3650793651,667565.425925926,654373.1224489796,640250.0,768425.0
17,64257.0,61366.666666666664,72563.7435897436,96667.80434782608,130432.52380952382,153823.47727272726,612502.659574468,657535.4761904762,152257.41379310345,178393.75,187953.41176470587,163675.2962962963,142012.875,159847.1851851852,176192.5909090909,204481.2857142857,239798.6,223282.03125,224651.95,291418.3846153846,306916.6666666667
18,57940.0,63196.545454545456,75172.57142857143,108693.33333333333,129070.0,210768.75,1144225.0,1320537.5,142875.0,119879.0,85713.22222222222,80425.72727272728,104424.05555555556,132835.29411764705,193400.0625,201658.41666666666,186302.22222222222,205695.41666666666,198291.66666666666,181000.0,161000.0
19,203978.75,224007.74774774775,256748.0357142857,298563.6645962733,342107.55102040817,466759.2,543254.44,453832.2048192771,417609.86666666664,454004.11392405065,490299.9130434783,491891.7794117647,433036.5168539326,413494.4672897196,411682.6846846847,456843.14782608696,529127.7291666666,619536.4361702128,626220.8910891089,649639.5714285715,794591.1538461539
